ClassName,Type,ReportedName,DerivedDisplayName,DisplayName,Suppressed,Deleted,Changed,New,Vetted
io.swagger.codegen.languages.RestbedCodegen,SERVER,restbed,Restbed Server,C++ Restbed Server,,,,,*
io.swagger.codegen.languages.RubyClientCodegen,CLIENT,ruby,Ruby Client,,,,,,*
io.swagger.codegen.languages.RustClientCodegen,CLIENT,rust,Rust Client,,,,,,*
io.swagger.codegen.languages.RustServerCodegen,SERVER,rust-server,Rust Server,,,,,,*
io.swagger.codegen.languages.ScalaClientCodegen,CLIENT,scala,Scala Client,,,,,,*
io.swagger.codegen.languages.ScalaGatlingCodegen,CLIENT,scala-gatling,Scala Gatling Client,,,,*,*,*
io.swagger.codegen.languages.ScalaLagomServerCodegen,SERVER,scala-lagom-server,Scala Lagom Server,,,,,,*
io.swagger.codegen.languages.ScalatraServerCodegen,SERVER,scalatra,Scalatra Server,Scala Scalatra Server,,,,,*
io.swagger.codegen.languages.ScalazClientCodegen,CLIENT,scalaz,Scalaz Client,Scala Scalaz Client,,,,,*
io.swagger.codegen.languages.SilexServerCodegen,SERVER,php-silex,Silex Server,PHP Silex Server,,,,,*
io.swagger.codegen.languages.SinatraServerCodegen,SERVER,sinatra,Sinatra Server,Ruby Sinatra Server,,,,,*
io.swagger.codegen.languages.SlimFrameworkServerCodegen,SERVER,slim,Slim Framework Server,PHP Slim Server,,,,,*
io.swagger.codegen.languages.SpringCodegen,SERVER,spring,Spring Server,Java Spring (Boot-MVC-CloudFeign) Server,,,,,*
io.swagger.codegen.languages.StaticDocCodegen,DOCUMENTATION,dynamic-html,Static Documentation,HTML Documentation (Dynamic),,,,,*
io.swagger.codegen.languages.StaticHtml2Generator,DOCUMENTATION,html2,Static Html2 Documentation,HTML Documentation (Static #2),,,,,*
io.swagger.codegen.languages.StaticHtmlGenerator,DOCUMENTATION,html,Static Html Documentation,HTML Documentation (Static),,,,,*
io.swagger.codegen.languages.SwaggerGenerator,DOCUMENTATION,swagger,Swagger Documentation,Swagger (JSON),,,,,*
io.swagger.codegen.languages.SwaggerYamlGenerator,DOCUMENTATION,swagger-yaml,Swagger Yaml Documentation,Swagger (YAML),,,,,*
io.swagger.codegen.languages.Swift3Codegen,CLIENT,swift3,Swift3 Client,Swift v3 Client,,,,,*
io.swagger.codegen.languages.Swift4Codegen,CLIENT,swift4,Swift4 Client,Swift v4 Client,,,,,*
io.swagger.codegen.languages.SwiftCodegen,CLIENT,swift,Swift Client,Swift v2 Client,,,,,*
io.swagger.codegen.languages.SymfonyServerCodegen,SERVER,php-symfony,Symfony Server,PHP Symfony Server,,,,,*
io.swagger.codegen.languages.TizenClientCodegen,CLIENT,tizen,Tizen Client,C++ Tizen Client,,,,,*
io.swagger.codegen.languages.TypeScriptAngularClientCodegen,CLIENT,typescript-angular,Type Script Angular Client,TypeScript Angular Client,,,,,*
io.swagger.codegen.languages.TypeScriptAngularJsClientCodegen,CLIENT,typescript-angularjs,Type Script Angular Js Client,TypeScript AngularJS Client,,,,,*
io.swagger.codegen.languages.TypeScriptAureliaClientCodegen,CLIENT,typescript-aurelia,Type Script Aurelia Client,TypeScript Aurelia Client,,,,,*
io.swagger.codegen.languages.TypeScriptFetchClientCodegen,CLIENT,typescript-fetch,Type Script Fetch Client,TypeScript Fetch Client,,,,,*
io.swagger.codegen.languages.TypeScriptInversifyClientCodegen,CLIENT,typescript-inversify,Type Script Inversify Client,TypeScript Inversify Client,,,*,*,*
io.swagger.codegen.languages.TypeScriptJqueryClientCodegen,CLIENT,typescript-jquery,Type Script Jquery Client,TypeScript JQuery Client,,,,,*
io.swagger.codegen.languages.TypeScriptNodeClientCodegen,CLIENT,typescript-node,Type Script Node Client,TypeScript Node Client,,,,,*
io.swagger.codegen.languages.UndertowCodegen,SERVER,undertow,Undertow Server,Java Undertow Server,,,,,*
io.swagger.codegen.languages.ZendExpressivePathHandlerServerCodegen,SERVER,ze-ph,Zend Expressive Path Handler Server,PHP Zend (Expressive + PathHandler) Server,,,,,*
